message,timestamp,severity,tags,attributes
,2026-03-17T23:01:49.055347858Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[1mPackages[0m,2026-03-17T23:01:49.055350791Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;238m──────────[0m,2026-03-17T23:01:49.055353931Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95mphp[0m   [38;5;238m│[0m  [96m8.2.30[0m   [38;5;238m│[0m  composer.json > require > php (8.2),2026-03-17T23:01:49.055356985Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95mnode[0m  [38;5;238m│[0m  [96m22.22.1[0m  [38;5;238m│[0m  railpack default (22),2026-03-17T23:01:49.055359902Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055362724Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[1mSteps[0m,2026-03-17T23:01:49.055365611Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;238m──────────[0m,2026-03-17T23:01:49.055368622Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ prepare[0m,2026-03-17T23:01:49.055372000Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mmkdir -p /usr/local/etc/php/conf.d[0m,2026-03-17T23:01:49.055374934Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mmkdir -p /conf.d/[0m,2026-03-17T23:01:49.055377783Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055381151Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ extensions[0m,2026-03-17T23:01:49.055383890Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1minstall-php-extensions mbstring ctype tokenizer openssl fileinfo pdo pdo_mysql xml ctype curl dom fileinfo filter hash mbstring openssl pcre pdo session tokenizer xml pdo_mysql[0m,2026-03-17T23:01:49.055386666Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055389476Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ install:composer[0m,2026-03-17T23:01:49.055392479Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mcomposer install --optimize-autoloader --no-scripts --no-interaction[0m,2026-03-17T23:01:49.055395020Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055397732Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ install:node[0m,2026-03-17T23:01:49.055400491Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mnpm install[0m,2026-03-17T23:01:49.055404412Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055407353Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ prune:node[0m,2026-03-17T23:01:49.055410346Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mnpm prune --omit=dev --ignore-scripts[0m,2026-03-17T23:01:49.055413465Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055416835Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[95m▸ build[0m,2026-03-17T23:01:49.055419738Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mnpm run build[0m,2026-03-17T23:01:49.055422491Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
"[38;5;245m$[0m [1mmkdir -p storage/framework/{sessions,views,cache,testing} storage/logs bootstrap/cache && chmod -R a+rw storage[0m",2026-03-17T23:01:49.055425468Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mphp artisan config:cache[0m,2026-03-17T23:01:49.055428393Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mphp artisan event:cache[0m,2026-03-17T23:01:49.055431598Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mphp artisan route:cache[0m,2026-03-17T23:01:49.055434471Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1mphp artisan view:cache[0m,2026-03-17T23:01:49.055437475Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055440203Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[1mDeploy[0m,2026-03-17T23:01:49.055443215Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;238m──────────[0m,2026-03-17T23:01:49.055446638Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[38;5;245m$[0m [1m/start-container.sh[0m,2026-03-17T23:01:49.055449575Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055452333Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.055454973Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Successfully prepared Railpack plan for build,2026-03-17T23:01:49.058515906Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""plan"":{""$schema"":""https://schema.railpack.com"",""caches"":{""apt"":{""directory"":""/var/cache/apt"",""type"":""locked""},""apt-lists"":{""directory"":""/var/lib/apt/lists"",""type"":""locked""},""composer"":{""directory"":""/opt/cache/composer"",""type"":""shared""},""node-modules"":{""directory"":""/app/node_modules/.cache"",""type"":""shared""},""npm-install"":{""directory"":""/root/.npm"",""type"":""shared""},""vite"":{""directory"":""/app/node_modules/.vite"",""type"":""shared""}},""deploy"":{""base"":{""step"":""packages:apt:runtime""},""inputs"":[{""include"":[""/app/node_modules""],""step"":""prune:node""},{""exclude"":[""node_modules""],""include"":["".""],""step"":""build""}],""startCommand"":""/start-container.sh""},""secrets"":[""APP_DEBUG"",""APP_ENV"",""APP_KEY"",""APP_NAME"",""APP_URL"",""CACHE_DRIVER"",""DB_CONNECTION"",""DB_DATABASE"",""DB_HOST"",""DB_PASSWORD"",""DB_PORT"",""DB_USERNAME"",""LOG_CHANNEL"",""LOG_LEVEL"",""MAIL_MAILER"",""QUEUE_CONNECTION"",""RAILWAY_ENVIRONMENT"",""RAILWAY_ENVIRONMENT_ID"",""RAILWAY_ENVIRONMENT_NAME"",""RAILWAY_GIT_AUTHOR"",""RAILWAY_GIT_BRANCH"",""RAILWAY_GIT_COMMIT_MESSAGE"",""RAILWAY_GIT_COMMIT_SHA"",""RAILWAY_GIT_REPO_NAME"",""RAILWAY_GIT_REPO_OWNER"",""RAILWAY_PRIVATE_DOMAIN"",""RAILWAY_PROJECT_ID"",""RAILWAY_PROJECT_NAME"",""RAILWAY_PUBLIC_DOMAIN"",""RAILWAY_SERVICE_ASSEMBLEIA_DIGITAL_URL"",""RAILWAY_SERVICE_ID"",""RAILWAY_SERVICE_NAME"",""RAILWAY_STATIC_URL"",""SESSION_DRIVER""],""steps"":[{""assets"":{""mise.toml"":""[tools]\n  [tools.node]\n    version = \""22.22.1\""\n""},""commands"":[{""path"":""/mise/shims""},{""customName"":""create mise config"",""name"":""mise.toml"",""path"":""/etc/mise/config.toml""},{""cmd"":""mise install"",""customName"":""install mise packages: node""}],""inputs"":[{""image"":""ghcr.io/railwayapp/railpack-builder:mise-2026.3.9""}],""name"":""packages:mise"",""variables"":{""MISE_CACHE_DIR"":""/mise/cache"",""MISE_CONFIG_DIR"":""/mise"",""MISE_DATA_DIR"":""/mise"",""MISE_IDIOMATIC_VERSION_FILE_ENABLE_TOOLS"":""python,node,ruby,elixir,go,java,yarn"",""MISE_INSTALLS_DIR"":""/mise/installs"",""MISE_NODE_VERIFY"":""false"",""MISE_PARANOID"":""1"",""MISE_SHIMS_DIR"":""/mise/shims"",""MISE_TRUSTED_CONFIG_PATHS"":""/app""}},{""commands"":[{""cmd"":""sh -c 'apt-get update && apt-get install -y ca-certificates git unzip zip'"",""customName"":""install apt packages: ca-certificates git unzip zip""}],""inputs"":[{""image"":""dunglas/frankenphp:php8.2.30-bookworm""}],""name"":""packages:image""},{""assets"":{""Caddyfile"":""{\n\tadmin off\n\tpersist_config off\n\tauto_https off\n\n  {$CADDY_GLOBAL_OPTIONS}\n\n  log {\n    format json\n    output stderr\n    level DEBUG\n  }\n\n\tfrankenphp {\n\t\t{$FRANKENPHP_CONFIG}\n\t}\n}\n\n{$CADDY_EXTRA_CONFIG}\n\n:{$PORT:80} {\n  \n    root * /app/public\n  \n\n\tencode zstd br gzip\n\n\tfile_server {\n\t\thide .git\n\t\thide .env*\n\t}\n\n\t{$CADDY_SERVER_EXTRA_DIRECTIVES}\n\n\tphp_server\n}\n"",""php.ini"":"";; Based on https://github.com/php/php-src/blob/master/php.ini-production\n\n[PHP]\nengine = On\nshort_open_tag = Off\nprecision = 14\noutput_buffering = 4096\nzlib.output_compression = Off\nimplicit_flush = Off\nunserialize_callback_func =\nserialize_precision = -1\ndisable_functions =\ndisable_classes =\nzend.enable_gc = On\nzend.exception_ignore_args = On\nzend.exception_string_param_max_len = 0\nexpose_php = On\nmax_execution_time = 30\nmax_input_time = 60\nmemory_limit = -1\nerror_reporting = E_ALL & ~E_DEPRECATED & ~E_STRICT\ndisplay_errors = Off\ndisplay_startup_errors = Off\nlog_errors = On\nignore_repeated_errors = Off\nignore_repeated_source = Off\nreport_memleaks = On\nvariables_order = \""GPCS\""\nrequest_order = \""GP\""\nregister_argc_argv = Off\nauto_globals_jit = On\npost_max_size = 0\nauto_prepend_file =\nauto_append_file =\ndefault_mimetype = \""text/html\""\ndefault_charset = \""UTF-8\""\ndoc_root =\nuser_dir =\nenable_dl = Off\nfile_uploads = On\nupload_max_filesize = 0\nmax_file_uploads = 20\nallow_url_fopen = On\nallow_url_include = Off\ndefault_socket_timeout = 60\nSMTP = localhost\nsmtp_port = 25\nmail.add_x_header = Off\nmail.mixed_lf_and_crlf = Off\nodbc.allow_persistent = On\nodbc.check_persistent = On\nodbc.max_persistent = -1\nodbc.max_links = -1\nodbc.defaultlrl = 4096\nodbc.defaultbinmode = 1\nmysqli.max_persistent = -1\nmysqli.allow_persistent = On\nmysqli.max_links = -1\nmysqli.default_port = 3306\nmysqli.default_socket =\nmysqli.default_host =\nmysqli.default_user =\nmysqli.default_pw =\nmysqlnd.collect_statistics = On\nmysqlnd.collect_memory_statistics = Off\npgsql.allow_persistent = On\npgsql.auto_reset_persistent = Off\npgsql.max_persistent = -1\npgsql.max_links = -1\npgsql.ignore_notice = 0\npgsql.log_notice = 0\nbcmath.scale = 0\nsession.save_handler = files\nsession.use_strict_mode = 0\nsession.use_cookies = 1\nsession.use_only_cookies = 1\nsession.name = PHPSESSID\nsession.auto_start = 0\nsession.cookie_lifetime = 0\nsession.cookie_path = /\nsession.cookie_domain =\nsession.cookie_httponly =\nsession.cookie_samesite =\nsession.serialize_handler = php\nsession.gc_probability = 1\nsession.gc_divisor = 1000\nsession.gc_maxlifetime = 1440\nsession.cache_limiter = nocache\nsession.cache_expire = 180\nsession.use_trans_sid = 0\nsession.sid_length = 26\nsession.trans_sid_tags = \""a=href,area=href,frame=src,form=\""\nsession.sid_bits_per_character = 5\nzend.assertions = -1\ntidy.clean_output = Off\nsoap.wsdl_cache_enabled = 1\nsoap.wsdl_cache_dir = \""/tmp\""\nsoap.wsdl_cache_ttl = 86400\nsoap.wsdl_cache_limit = 5\nldap.max_links = -1\n\n[Pdo_mysql]\npdo_mysql.default_socket =\n"",""start-container.sh"":""#!/bin/bash\n\nset -e\n\nif [ \""$IS_LARAVEL\"" = \""true\"" ]; then\n  if [ \""$RAILPACK_SKIP_MIGRATIONS\"" != \""true\"" ]; then\n    # Run migrations and seeding\n    echo \""Running migrations and seeding database ...\""\n    php artisan migrate --force\n  fi\n\n  php artisan storage:link\n  php artisan optimize:clear\n  php artisan optimize\n\n  echo \""Starting Laravel server ...\""\nfi\n\n# Start the FrankenPHP server\ndocker-php-entrypoint --config /Caddyfile --adapter caddyfile 2>&1\n""},""commands"":[{""cmd"":""mkdir -p /usr/local/etc/php/conf.d""},{""cmd"":""mkdir -p /conf.d/""},{""name"":""php.ini"",""path"":""/usr/local/etc/php/conf.d/php.ini""},{""name"":""Caddyfile"",""path"":""/Caddyfile""},{""customName"":""create start container script"",""mode"":493,""name"":""start-container.sh"",""path"":""/start-container.sh""}],""inputs"":[{""step"":""packages:image""}],""name"":""prepare"",""variables"":{""APP_DEBUG"":""false"",""APP_ENV"":""production"",""APP_LOCALE"":""en"",""IS_LARAVEL"":""true"",""LOG_CHANNEL"":""stderr"",""LOG_LEVEL"":""debug"",""OCTANE_SERVER"":""frankenphp"",""PHP_INI_DIR"":""/usr/local/etc/php"",""SERVER_NAME"":"":80""}},{""caches"":[""apt"",""apt-lists""],""commands"":[{""cmd"":""install-php-extensions mbstring ctype tokenizer openssl fileinfo pdo pdo_mysql xml ctype curl dom fileinfo filter hash mbstring openssl pcre pdo session tokenizer xml pdo_mysql""}],""inputs"":[{""step"":""prepare""}],""name"":""extensions""},{""caches"":[""composer""],""commands"":[{""dest"":""/usr/bin/composer"",""image"":""composer:latest"",""src"":""/usr/bin/composer""},{""dest"":""composer.json"",""src"":""composer.json""},{""dest"":""composer.lock"",""src"":""composer.lock""},{""dest"":""artisan"",""src"":""artisan""},{""cmd"":""composer install --optimize-autoloader --no-scripts --no-interaction""}],""inputs"":[{""step"":""extensions""}],""name"":""install:composer"",""variables"":{""COMPOSER_CACHE_DIR"":""/opt/cache/composer"",""COMPOSER_FUND"":""0""}},{""caches"":[""npm-install""],""commands"":[{""path"":""/app/node_modules/.bin""},{""cmd"":""mkdir -p /app/node_modules/.cache""},{""dest"":""package.json"",""src"":""package.json""},{""cmd"":""npm install""}],""inputs"":[{""step"":""packages:mise""}],""name"":""install:node"",""variables"":{""CI"":""true"",""NODE_ENV"":""production"",""NPM_CONFIG_FUND"":""false"",""NPM_CONFIG_PRODUCTION"":""false"",""NPM_CONFIG_UPDATE_NOTIFIER"":""false""}},{""caches"":[""npm-install""],""commands"":[{""cmd"":""npm prune --omit=dev --ignore-scripts""}],""inputs"":[{""step"":""install:node""}],""name"":""prune:node"",""variables"":{""NPM_CONFIG_PRODUCTION"":""true""}},{""caches"":[""node-modules"",""vite""],""commands"":[{""cmd"":""npm run build""},{""cmd"":""sh -c 'mkdir -p storage/framework/{sessions,views,cache,testing} storage/logs bootstrap/cache && chmod -R a+rw storage'"",""customName"":""mkdir -p storage/framework/{sessions,views,cache,testing} storage/logs bootstrap/cache && chmod -R a+rw storage""},{""cmd"":""php artisan config:cache""},{""cmd"":""php artisan event:cache""},{""cmd"":""php artisan route:cache""},{""cmd"":""php artisan view:cache""}],""inputs"":[{""step"":""install:composer""},{""include"":[""."",""/mise/shims"",""/mise/installs"",""/usr/local/bin/mise"",""/etc/mise/config.toml"",""/root/.local/state/mise""],""step"":""install:node""},{""include"":["".""],""local"":true}],""name"":""build"",""secrets"":[""*""]},{""caches"":[""apt"",""apt-lists""],""commands"":[{""cmd"":""sh -c 'apt-get update && apt-get install -y libatomic1'"",""customName"":""install apt packages: libatomic1""}],""inputs"":[{""step"":""install:composer""}],""name"":""packages:apt:runtime""}]}}"
,2026-03-17T23:01:49.058547509Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-17T23:01:49.058558419Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: 2xrd-DFRm,2026-03-17T23:01:49.059149405Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from railpack-plan.json,2026-03-17T23:01:49.217549503Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:30cf168fb0a31e0888d7b8a4ffa83e0b3cd093c5e031c37aa7c5fc2788833780"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from railpack-plan.json,2026-03-17T23:01:49.217586264Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:30cf168fb0a31e0888d7b8a4ffa83e0b3cd093c5e031c37aa7c5fc2788833780"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.214781972Z"",""type"":""vertex""}"
[internal] load build definition from railpack-plan.json,2026-03-17T23:01:49.217600923Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T23:01:49.214821251Z"",""digest"":""sha256:30cf168fb0a31e0888d7b8a4ffa83e0b3cd093c5e031c37aa7c5fc2788833780"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.214781972Z"",""type"":""vertex""}"
[internal] load build definition from railpack-plan.json,2026-03-17T23:01:49.217617327Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:30cf168fb0a31e0888d7b8a4ffa83e0b3cd093c5e031c37aa7c5fc2788833780"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.214947291Z"",""type"":""vertex""}"
[internal] load build definition from railpack-plan.json,2026-03-17T23:01:49.235529150Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T23:01:49.233063117Z"",""digest"":""sha256:30cf168fb0a31e0888d7b8a4ffa83e0b3cd093c5e031c37aa7c5fc2788833780"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.214947291Z"",""type"":""vertex""}"
resolve image config for docker-image://ghcr.io/railwayapp/railpack-frontend:v0.19.0,2026-03-17T23:01:49.237483562Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:394ae4aa026f598b1f71f0579dfc8f63d2558b915210e3d17791d6cdd7ec3c71"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.234937311Z"",""type"":""vertex""}"
resolve image config for docker-image://ghcr.io/railwayapp/railpack-frontend:v0.19.0,2026-03-17T23:01:49.357790030Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T23:01:49.355032Z"",""digest"":""sha256:394ae4aa026f598b1f71f0579dfc8f63d2558b915210e3d17791d6cdd7ec3c71"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.234937311Z"",""type"":""vertex""}"
load build definition from railpack-plan.json,2026-03-17T23:01:49.436461379Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:f301ceb026c11fa377427aaa15eb7c2f0292c87a38d9b24edcfea9d7a4d364d1"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
load build definition from railpack-plan.json,2026-03-17T23:01:49.436525411Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T23:01:49.433980814Z"",""digest"":""sha256:f301ceb026c11fa377427aaa15eb7c2f0292c87a38d9b24edcfea9d7a4d364d1"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.433942366Z"",""type"":""vertex""}"
load build definition from railpack-plan.json,2026-03-17T23:01:49.436777817Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:f301ceb026c11fa377427aaa15eb7c2f0292c87a38d9b24edcfea9d7a4d364d1"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.434297196Z"",""type"":""vertex""}"
load build definition from railpack-plan.json,2026-03-17T23:01:49.446007259Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T23:01:49.44358368Z"",""digest"":""sha256:f301ceb026c11fa377427aaa15eb7c2f0292c87a38d9b24edcfea9d7a4d364d1"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T23:01:49.434297196Z"",""type"":""vertex""}"
copy /usr/bin/composer,2026-03-17T23:01:49.754324433Z,info,"{""serviceId"":""93a7fcff-f078-43ce-88a5-88c589eeb145"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:c68e45f8164ab352c87c1d5f77f355dc31a09a77b771ccf4823b178fc54fc06a"",""inputs"":[""sha256:6f387097c22fc1e9888a9468548ce09f1f6b5ff3eadedc61194bd56f3f9ad104"",""sha256:a98356c5cf6313f726b75eede25f2f8faf3695993782eca625413c48de7c73ab""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
